idx_src,idx_dst,duration_troubleshoot,distance_troubleshoot,dist_troubleshoot,dbuid_src,dbuid_dst,lat_src,lon_src,lat_dst,lon_dst,index,duration_newrun,distance_newrun,dist_newrun,dist_troubleshoot_km,CMAUID,quant,notes
1448,3509,NA,NA,18443.51046,10010554013,10010811047,47.58668371,-53.21175521,47.63542016,-52.9787045,NA,NA,NA,NA,18.44351046,NA,2,
1257,3458,NA,NA,17989.54414,10010534012,10010810019,47.66573455,-53.19127535,47.64819502,-52.95450399,NA,NA,NA,NA,17.98954414,NA,2,
1258,1465,NA,NA,18680.16523,10010534013,10010556005,47.68845628,-53.18150142,47.62265609,-52.95415632,NA,NA,NA,NA,18.68016523,NA,2,
1443,1642,NA,NA,17843.77357,10010554008,10010576003,47.58997867,-53.20300766,47.48660946,-53.02353566,NA,NA,NA,NA,17.84377357,NA,2,
2395,2584,NA,NA,18063.03915,10010700019,10010714014,47.62804494,-53.49723035,47.62002495,-53.735916,NA,NA,NA,NA,18.06303915,NA,2,
2392,2544,NA,NA,18219.97225,10010700016,10010709017,47.59122404,-53.50411659,47.62983348,-53.73823609,NA,NA,NA,NA,18.21997225,NA,2,
1258,3401,NA,NA,18752.16453,10010534013,10010807029,47.68845628,-53.18150142,47.64399669,-52.94204041,NA,NA,NA,NA,18.75216453,NA,2,
1471,1239,NA,NA,18184.85434,10010556014,10010532004,47.60367194,-52.9751662,47.64895919,-53.20625689,NA,NA,NA,NA,18.18485434,NA,2,
2285,2209,NA,NA,18316.12805,10010692045,10010690014,47.46080907,-53.35786152,47.29718107,-53.35268862,NA,NA,NA,NA,18.31612805,NA,2,
2391,2537,NA,NA,18781.8772,10010700015,10010709010,47.6088487,-53.52318393,47.63116401,-53.76944949,NA,NA,NA,NA,18.7818772,NA,2,
1257,3459,NA,NA,17947.61804,10010534012,10010810020,47.66573455,-53.19127535,47.64864247,-52.95498937,NA,NA,NA,NA,17.94761804,NA,2,
2296,2583,NA,NA,17910.37423,10010694003,10010714013,47.53409572,-53.51428483,47.60913421,-53.72337484,NA,NA,NA,NA,17.91037423,NA,2,
1257,3462,NA,NA,18142.40839,10010534012,10010810023,47.66573455,-53.19127535,47.64611487,-52.95282856,NA,NA,NA,NA,18.14240839,NA,2,
1257,3448,NA,NA,18533.03851,10010534012,10010810009,47.66573455,-53.19127535,47.64923169,-52.94710469,NA,NA,NA,NA,18.53303851,NA,2,
1257,3464,NA,NA,18338.96162,10010534012,10010810027,47.66573455,-53.19127535,47.64719626,-52.95001669,NA,NA,NA,NA,18.33896162,NA,2,
1465,1439,NA,NA,18170.79416,10010556005,10010554004,47.62265609,-52.95415632,47.59735147,-53.19155276,NA,NA,NA,NA,18.17079416,NA,2,
1261,3411,NA,NA,18098.13301,10010534016,10010808008,47.6705375,-53.18494315,47.6424964,-52.94893917,NA,NA,NA,NA,18.09813301,NA,2,
1257,3448,NA,NA,18533.03851,10010534012,10010810009,47.66573455,-53.19127535,47.64923169,-52.94710469,NA,NA,NA,NA,18.53303851,NA,2,
1257,3464,NA,NA,18338.96162,10010534012,10010810027,47.66573455,-53.19127535,47.64719626,-52.95001669,NA,NA,NA,NA,18.33896162,NA,2,
1257,3472,NA,NA,18087.69342,10010534012,10010811004,47.66573455,-53.19127535,47.64417966,-52.95393115,NA,NA,NA,NA,18.08769342,NA,2,
2371,2544,NA,NA,18121.93998,10010699013,10010709017,47.64810201,-53.49992125,47.62983348,-53.73823609,NA,NA,NA,NA,18.12193998,NA,2,
2319,2602,NA,NA,18735.20197,10010694029,10010717003,47.49881222,-53.44734185,47.56993027,-53.67130087,NA,NA,NA,NA,18.73520197,NA,2,
2397,1229,NA,NA,18083.42108,10010700021,10010530004,47.76878086,-53.3894692,47.64033798,-53.24370365,NA,NA,NA,NA,18.08342108,NA,2,
2397,3124,NA,NA,18565.58775,10010700021,10010764004,47.76878086,-53.3894692,47.62102187,-53.2770694,NA,NA,NA,NA,18.56558775,NA,2,
2294,2619,NA,NA,17978.91058,10010693007,10010719013,47.52052843,-53.38672317,47.45825111,-53.60532321,NA,NA,NA,NA,17.97891058,NA,2,
1257,3466,NA,NA,18725.84259,10010534012,10010810029,47.66573455,-53.19127535,47.64620606,-52.94503237,NA,NA,NA,NA,18.72584259,NA,2,
1252,3469,NA,NA,18121.72494,10010534004,10010811001,47.67395406,-53.19166971,47.64649636,-52.95517805,NA,NA,NA,NA,18.12172494,NA,2,
1274,1470,NA,NA,17877.40803,10010535013,10010556013,47.61651081,-53.2129899,47.60414465,-52.97724917,NA,NA,NA,NA,17.87740803,NA,2,
2397,1252,NA,NA,18297.93943,10010700021,10010534004,47.76878086,-53.3894692,47.67395406,-53.19166971,NA,NA,NA,NA,18.29793943,NA,2,
2391,2537,NA,NA,18781.8772,10010700015,10010709010,47.6088487,-53.52318393,47.63116401,-53.76944949,NA,NA,NA,NA,18.7818772,NA,2,
