idx_src,idx_dst,duration_troubleshoot,distance_troubleshoot,dist_troubleshoot,dbuid_src,dbuid_dst,lat_src,lon_src,lat_dst,lon_dst,index,duration_newrun,distance_newrun,dist_newrun,dist_troubleshoot_km,CMAUID,quant,notes
1437,1473,NA,NA,17064.87325,10010554001,10010556016,47.59224414,-53.19961415,47.60564675,-52.97484337,NA,NA,NA,NA,17.06487325,NA,1,6 hr 11 min bike incl. ferry
1442,1660,NA,NA,17324.51018,10010554007,10010580001,47.59332705,-53.19323062,47.50217026,-53.00823495,NA,NA,NA,NA,17.32451018,NA,1,3 hr 52 min bike via Newfoundland T'Railway + hwy
1440,1478,NA,NA,14345.24209,10010554005,10010556021,47.59928926,-53.18383832,47.6105601,-52.99486356,NA,NA,NA,NA,14.34524209,NA,1,6 hr 17 min bike incl. ferry
1440,1478,NA,NA,14345.24209,10010554005,10010556021,47.59928926,-53.18383832,47.6105601,-52.99486356,NA,NA,NA,NA,14.34524209,NA,1,6 hr 15 min bike incl. ferry
2179,2170,NA,NA,17152.69797,10010687012,10010687003,47.42149143,-53.0341637,47.32265364,-52.86173084,NA,NA,NA,NA,17.15269797,NA,1,3 hr 33 min bike via hwy
1652,1454,NA,NA,17468.31801,10010578003,10010555007,47.49802319,-53.02208302,47.60032476,-53.19642435,NA,NA,NA,NA,17.46831801,NA,1,3 hr 48 min bike via highway
1431,1466,NA,NA,16337.23812,10010553009,10010556007,47.55781964,-53.21429736,47.60100904,-53.00802417,NA,NA,NA,NA,16.33723812,NA,1,5 hr 30 min bike incl. ferry
1646,1440,NA,NA,17698.28633,10010576009,10010554005,47.48761665,-53.01824097,47.59928926,-53.18383832,NA,NA,NA,NA,17.69828633,NA,1,3 hr 54 min bike via highway
1261,3497,NA,NA,16526.9284,10010534016,10010811030,47.6705375,-53.18494315,47.63255914,-52.97348871,NA,NA,NA,NA,16.5269284,NA,1,6 hr 33 bike incl. ferry
1584,2171,NA,NA,17285.42981,10010567008,10010687004,47.39283745,-53.12178969,47.34023483,-52.90805064,NA,NA,NA,NA,17.28542981,NA,1,4 hr 3 min bike via Newfoundland T'Railway + hwy
1437,1470,NA,NA,16869.85331,10010554001,10010556013,47.59224414,-53.19961415,47.60414465,-52.97724917,NA,NA,NA,NA,16.86985331,NA,1,6 hr 10 min bike incl. ferry
1440,1618,NA,NA,16451.24219,10010554005,10010573002,47.59928926,-53.18383832,47.49208356,-53.03507239,NA,NA,NA,NA,16.45124219,NA,1,3 hr 47 min bike via Newfoundland T'Railway + hwy
1477,1240,NA,NA,16990.21369,10010556020,10010532005,47.60540347,-52.98866451,47.64902964,-53.20400545,NA,NA,NA,NA,16.99021369,NA,1,6 hr 39 min bike incl. ferry
2392,2541,NA,NA,16822.88824,10010700016,10010709014,47.59122404,-53.50411659,47.63516191,-53.71693453,NA,NA,NA,NA,16.82288824,NA,1,3 hr 15 min bike via highway
1442,1653,NA,NA,16534.67191,10010554007,10010578004,47.59332705,-53.19323062,47.49808947,-53.02620835,NA,NA,NA,NA,16.53467191,NA,1,3 hr 44 min bike via Newfoundland T'Railway + hwy
